Animal,Error,Strategy,Region,I1,I2,Abs[Error],"Avg[I1,I2]",Relative Error
42,5.4919028225,Cata,pm5,3998.1675576,3992.6756548,5.4919028225,3995.4216062,0.001374549
42,0.3343085483,Cata,pm4,8543.4839025,8543.1495939,0.3343085483,8543.3167482,0.000039131
42,-50.69750284,Cata,pm3,6893.9554021,6944.6529049,50.697502844,6919.3041535,0.0073269655
42,153.08168104,Cata,postPM3,3870.008887,3716.927206,153.08168104,3793.4680465,0.0403540188
42,-16.2103423,Cata,medialAxis,6403.5183354,6419.7286777,16.210342302,6411.6235066,0.0025282742
42,-11.19990106,Cata,wholePharynx,6224.1546452,6235.3545463,11.199901056,6229.7545957,0.0017978077
43,166.88576899,Cata,prePM7,4762.9367925,4596.0510235,166.88576899,4679.493908,0.0356632089
43,22.135457249,Cata,pm7,10565.44784,10543.312383,22.135457249,10554.380111,0.0020972769
43,-5.724290828,Cata,pm6,6926.6029327,6932.3272235,5.7242908285,6929.4650781,0.0008260798
43,-2.473626113,Cata,pm5,3974.6825189,3977.156145,2.4736261132,3975.9193319,0.000622152
43,-24.03837427,Cata,pm4,8607.3056509,8631.3440251,24.038374273,8619.324838,0.0027888929
43,-33.32030215,Cata,pm3,6921.7510861,6955.0713883,33.320302151,6938.4112372,0.0048022957
43,-94.60039887,Cata,postPM3,3741.1774163,3835.7778152,94.60039887,3788.4776158,0.0249705577
43,-8.583864454,Cata,medialAxis,6421.7085496,6430.292414,8.5838644543,6426.0004818,0.001335802
43,-8.881401617,Cata,wholePharynx,6239.2707161,6248.1521177,8.8814016174,6243.7114169,0.0014224555
44,-181.8603438,Cata,prePM7,4591.6427173,4773.5030611,181.86034384,4682.5728892,0.0388376963
44,-2.630521039,Cata,pm7,10553.560249,10556.19077,2.6305210387,10554.87551,0.0002492233
44,28.379218175,Cata,pm6,6942.6133488,6914.2341306,28.379218175,6928.4237397,0.0040960569
44,-35.36418304,Cata,pm5,3941.6512233,3977.0154063,35.364183037,3959.3333148,0.008931853
44,78.476091194,Cata,pm4,8588.3505091,8509.8744179,78.476091194,8549.1124635,0.0091794431
44,-1.434720776,Cata,pm3,6917.4431528,6918.8778736,1.4347207757,6918.1605132,0.0002073847
44,-132.0869157,Cata,postPM3,3736.1304148,3868.2173304,132.08691565,3802.1738726,0.034739841
44,2.9908781193,Cata,medialAxis,6403.9968379,6401.0059598,2.9908781193,6402.5013988,0.0004671421
44,-8.223405243,Cata,wholePharynx,6219.8088465,6228.0322518,8.2234052427,6223.9205492,0.0013212581
45,-10.26232876,Cata,prePM7,4409.5407513,4419.8030801,10.262328757,4414.6719157,0.002324596
45,200.12137253,Cata,pm7,10619.714756,10419.593383,200.12137253,10519.65407,0.0190235697
45,37.588553779,Cata,pm6,6954.7883198,6917.199766,37.588553779,6935.9940429,0.0054193463
45,16.465409375,Cata,pm5,3963.11544,3946.6500306,16.465409375,3954.8827353,0.0041633117
45,147.45042311,Cata,pm4,8712.3109707,8564.8605476,147.45042311,8638.5857592,0.0170688151
45,99.072470085,Cata,pm3,6951.9847998,6852.9123297,99.072470085,6902.4485648,0.0143532355
45,121.62410879,Cata,postPM3,3738.3937196,3616.7696108,121.62410879,3677.5816652,0.0330717629
45,82.806157459,Cata,medialAxis,6431.9200702,6349.1139127,82.806157459,6390.5169915,0.0129576617
45,81.075434807,Cata,wholePharynx,6246.4209739,6165.3455391,81.075434807,6205.8832565,0.0130642862
46,-75.88196279,Cata,prePM7,4390.2450969,4466.1270597,75.88196279,4428.1860783,0.0171361279
46,21.819972798,Cata,pm7,10531.247287,10509.427314,21.819972798,10520.337301,0.0020740754
46,27.935163837,Cata,pm6,7006.022354,6978.0871902,27.935163837,6992.0547721,0.0039952725
46,20.667462012,Cata,pm5,4000.7215169,3980.0540549,20.667462012,3990.3877859,0.0051793117
46,-14.8984359,Cata,pm4,8613.7706963,8628.6691322,14.898435895,8621.2199143,0.0017281123
46,-55.06446173,Cata,pm3,6856.1813663,6911.2458281,55.064461735,6883.7135972,0.0079992378
46,-41.82430048,Cata,postPM3,3586.2926129,3628.1169134,41.824300475,3607.2047631,0.0115946566
46,-3.406988096,Cata,medialAxis,6391.8247247,6395.2317128,3.4069880963,6393.5282188,0.0005328807
46,-6.562759681,Cata,wholePharynx,6204.0744625,6210.6372222,6.5627596807,6207.3558423,0.0010572553
47,-46.71070061,Cata,prePM7,4335.7385057,4382.4492063,46.710700611,4359.093856,0.0107156905
47,95.693719368,Cata,pm7,10602.40842,10506.7147,95.693719368,10554.56156,0.0090665746
47,35.503841953,Cata,pm6,7027.2828328,6991.7789909,35.503841953,7009.5309118,0.005065081
47,55.489027555,Cata,pm5,3983.2837329,3927.7947053,55.489027555,3955.5392191,0.0140281829
47,0.9239371075,Cata,pm4,8534.3866228,8533.4626857,0.9239371075,8533.9246542,0.0001082664
47,16.21155217,Cata,pm3,6987.94202,6971.7304678,16.21155217,6979.8362439,0.0023226264
47,-8.377621368,Cata,postPM3,3695.1557665,3703.5333878,8.3776213678,3699.3445772,0.0022646231
47,26.168469057,Cata,medialAxis,6417.7048685,6391.5363995,26.168469057,6404.620634,0.0040858734
47,23.129095978,Cata,wholePharynx,6232.0126507,6208.8835547,23.129095978,6220.4481027,0.0037182363
48,345.75096385,Cata,prePM7,4639.823273,4294.0723091,345.75096385,4466.947791,0.0774020607
48,51.088835874,Cata,pm7,10558.597214,10507.508379,51.088835874,10533.052797,0.0048503351
48,-38.85628971,Cata,pm6,6979.70258,7018.5588697,38.856289705,6999.1307248,0.0055515879
48,-18.14646464,Cata,pm5,4006.0715043,4024.2179689,18.146464638,4015.1447366,0.0045195045
